"eventtype","ts","eventid","requestid","receivedat","metadata_json","validation_json","payload_json","ingestedat","year","month","day","type"
"search.search.performed","2025-01-15T10:35:18Z","b07b23d0-321d-4140-8e48-a70c5750c7ec","a2e4ef5f-9089-4268-864c-f6c212599fb3","2025-10-15T23:53:33.355428Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23635095355, ""eventSizeBytes"": 290, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:53:38.141127Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=search.search.performed/b07b23d0-321d-4140-8e48-a70c5750c7ec.json""}","{""searchId"": ""SCH-20250115-002"", ""userId"": ""u-1044"", ""origin"": ""AEP"", ""destination"": ""SCL"", ""departDate"": ""2025-03-05"", ""returnDate"": ""2025-03-12"", ""paxCount"": 1, ""category"": ""business"", ""performedAt"": ""2025-01-15T10:35:18Z""}","2025-10-15T23:53:38.141226Z","2025","10","15","search.search.performed"
"search.cart.item.added","2025-01-15T16:14:32Z","a737ebde-b850-4b53-8753-ec26f72182fc","b8de4d87-79fa-4bf8-8544-a7f2859f6237","2025-10-15T23:57:42.958172Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23614990958, ""eventSizeBytes"": 140, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:57:43.611972Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=search.cart.item.added/a737ebde-b850-4b53-8753-ec26f72182fc.json""}","{""userId"": ""u-1488"", ""flightId"": ""LA622"", ""addedAt"": ""2025-01-15T16:14:32Z""}","2025-10-15T23:57:43.612057Z","2025","10","15","search.cart.item.added"
"search.cart.item.added","2025-01-15T11:58:09Z","4d1fb94b-ffad-43dc-a8de-3dd617729e66","65ea6eac-8261-44a1-a24d-9845fe76fc1a","2025-10-15T23:57:40.696339Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23630371696, ""eventSizeBytes"": 141, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:57:41.630981Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=search.cart.item.added/4d1fb94b-ffad-43dc-a8de-3dd617729e66.json""}","{""userId"": ""u-1150"", ""flightId"": ""AR2846"", ""addedAt"": ""2025-01-15T11:58:09Z""}","2025-10-15T23:57:41.631039Z","2025","10","15","search.cart.item.added"
"flights.flight.created","2025-02-18T12:30:00Z","abfcf5a8-885a-4808-8713-6ec69e0db865","a40bb9c5-acd8-4586-a7a5-7e04672be7bd","2025-10-15T23:58:23.299800Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 20690903299, ""eventSizeBytes"": 308, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:58:24.344775Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=flights.flight.created/abfcf5a8-885a-4808-8713-6ec69e0db865.json""}","{""flightId"": ""AR1302"", ""flightNumber"": ""AR1302"", ""origin"": ""EZE"", ""destination"": ""MIA"", ""aircraftModel"": ""B737"", ""departureAt"": ""2025-02-18T12:30:00Z"", ""arrivalAt"": ""2025-02-18T20:05:00Z"", ""status"": ""En hora"", ""price"": 750, ""currency"": ""USD""}","2025-10-15T23:58:24.344837Z","2025","10","15","flights.flight.created"
"search.cart.item.added","2025-10-15T22:38:17.764000Z","1ade640f-73a0-4117-bd0c-7897440891df","b73ee08f-5f4b-472c-9e90-c6c223b91c0b","2025-10-15T22:38:23.513988Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 5749, ""eventSizeBytes"": 154, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T22:38:25.090955Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [], ""originalS3Key"": ""year=2025/month=10/day=15/type=search.cart.item.added/1ade640f-73a0-4117-bd0c-7897440891df.json""}","{""userId"": ""user-123"", ""flightId"": ""AR1302"", ""addedAt"": ""2025-10-15T22:38:17.764000Z""}","2025-10-15T22:38:25.091011Z","2025","10","15","search.cart.item.added"
"users.user.created","2025-01-15T14:05:00Z","7cdf39a7-ffb5-4457-a628-eb61770d3470","7615bea3-5253-4a40-9c04-3802ad26fcc7","2025-10-15T23:58:05.228949Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23622785228, ""eventSizeBytes"": 182, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:58:06.579259Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=users.user.created/7cdf39a7-ffb5-4457-a628-eb61770d3470.json""}","{""userId"": ""user-1400"", ""nationalityOrOrigin"": ""UY"", ""roles"": [""traveler"", ""agency""], ""createdAt"": ""2025-01-15T14:05:00Z""}","2025-10-15T23:58:06.579321Z","2025","10","15","users.user.created"
"search_metric","2025-01-15T10:30:00Z","2010aa40-e99d-4a6c-8120-19b2f0022887","b8cbc69d-8de8-4c39-b199-eabe54ce6f31","2025-10-15T23:57:12.571618Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23635632571, ""eventSizeBytes"": 224, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:57:14.016129Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Unexpected field for search_metric: timestamp"", ""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=search_metric/2010aa40-e99d-4a6c-8120-19b2f0022887.json""}","{""flightsFrom"": ""AEP"", ""flightsTo"": ""SCL"", ""dateFrom"": ""2025-03-05"", ""dateTo"": ""2025-03-12"", ""resultsCount"": 35, ""timestamp"": ""2025-01-15T10:30:00Z"", ""userId"": ""u-1044""}","2025-10-15T23:57:14.016192Z","2025","10","15","search_metric"
"payments.payment.status_updated","2025-01-15T18:41:00Z","9a0f24b2-d28f-4ccf-8942-8b835ca7332e","7683cbf1-81d7-41a3-baed-d7ae8e73a15f","2025-10-15T23:59:37.185339Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23606317185, ""eventSizeBytes"": 241, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:59:38.595572Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=payments.payment.status_updated/9a0f24b2-d28f-4ccf-8942-8b835ca7332e.json""}","{""paymentId"": ""PAY-8010"", ""reservationId"": ""RSV-5010"", ""userId"": ""u-1405"", ""status"": ""PENDING"", ""amount"": 540, ""currency"": ""USD"", ""updatedAt"": ""2025-01-15T18:41:00Z""}","2025-10-15T23:59:38.595629Z","2025","10","15","payments.payment.status_updated"
"payments.payment.status_updated","2025-01-15T17:49:00Z","a3542cb5-f07d-4908-a3a8-5179241e5e70","ed8be95a-ffb1-4e4f-8fa8-1b615f516820","2025-10-15T23:59:35.916003Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23609435916, ""eventSizeBytes"": 237, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:59:36.526568Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=payments.payment.status_updated/a3542cb5-f07d-4908-a3a8-5179241e5e70.json""}","{""paymentId"": ""PAY-8006"", ""reservationId"": ""RSV-5006"", ""userId"": ""u-1225"", ""status"": ""PAID"", ""amount"": 98, ""currency"": ""USD"", ""updatedAt"": ""2025-01-15T17:49:00Z""}","2025-10-15T23:59:36.526627Z","2025","10","15","payments.payment.status_updated"
"catalogo","2025-05-03T23:55:00Z","91bbb82e-acb2-494d-b066-bc0665db6277","673c28df-9bf1-4a83-99c8-4531a715e0fd","2025-10-15T23:58:48.112242Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 14256228112, ""eventSizeBytes"": 332, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:58:49.136726Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Unknown aircraft type: B787"", ""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=catalogo/91bbb82e-acb2-494d-b066-bc0665db6277.json""}","{""id"": 10, ""id_vuelo"": ""UX042"", ""aerolinea"": ""Air Europa"", ""origen"": ""EZE"", ""destino"": ""MAD"", ""precio"": 1099, ""moneda"": ""USD"", ""despegue"": ""2025-05-03T23:55:00Z"", ""aterrizaje_local"": ""2025-05-04T17:30:00Z"", ""estado_vuelo"": ""En hora"", ""capacidadAvion"": 302, ""tipoAvion"": ""B787""}","2025-10-15T23:58:49.136789Z","2025","10","15","catalogo"
"reservations.reservation.created","2025-01-15T16:23:11Z","49112b08-747a-4b12-810d-e175e03566ac","f7db4aaa-077b-493f-a877-55ad8cfc7ae7","2025-10-15T23:59:10.285205Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23614559285, ""eventSizeBytes"": 218, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:59:11.259588Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=reservations.reservation.created/49112b08-747a-4b12-810d-e175e03566ac.json""}","{""reservationId"": ""RSV-5015"", ""userId"": ""u-1490"", ""flightId"": ""AR2846"", ""amount"": 1185, ""currency"": ""USD"", ""reservedAt"": ""2025-01-15T16:23:11Z""}","2025-10-15T23:59:11.259644Z","2025","10","15","reservations.reservation.created"
"payments.payment.status_updated","2025-01-15T19:21:00Z","a7e5d35c-5d4d-44c3-9622-08f9df4958f5","0f0dcc9b-b436-419a-a622-b786f5c83565","2025-10-15T23:59:37.849395Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23603917849, ""eventSizeBytes"": 236, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:59:38.592111Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=payments.payment.status_updated/a7e5d35c-5d4d-44c3-9622-08f9df4958f5.json""}","{""paymentId"": ""PAY-8013"", ""reservationId"": ""RSV-5013"", ""userId"": ""u-1455"", ""status"": ""PAID"", ""amount"": 320, ""currency"": ""USD"", ""updatedAt"": ""2025-01-15T19:21:00Z""}","2025-10-15T23:59:38.592171Z","2025","10","15","payments.payment.status_updated"
"payments.payment.status_updated","2025-01-15T18:55:00Z","aefd846d-30d2-49f9-955b-fa393082a2e1","0af25b98-dba5-4009-9587-f20a7769033d","2025-10-15T23:59:37.406200Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23605477406, ""eventSizeBytes"": 238, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:59:38.789717Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=payments.payment.status_updated/aefd846d-30d2-49f9-955b-fa393082a2e1.json""}","{""paymentId"": ""PAY-8011"", ""reservationId"": ""RSV-5011"", ""userId"": ""u-1418"", ""status"": ""PAID"", ""amount"": 455, ""currency"": ""USD"", ""updatedAt"": ""2025-01-15T18:55:00Z""}","2025-10-15T23:59:38.789781Z","2025","10","15","payments.payment.status_updated"
"search.search.performed","2025-01-15T15:45:33Z","b6ce8d73-4477-45b5-a3d0-19bc9362e8ff","5a694ff6-3970-4230-8e54-c728e12c08bf","2025-10-15T23:53:35.932787Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23616482932, ""eventSizeBytes"": 278, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:53:39.969476Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=search.search.performed/b6ce8d73-4477-45b5-a3d0-19bc9362e8ff.json""}","{""searchId"": ""SCH-20250115-013"", ""userId"": ""u-1455"", ""origin"": ""AEP"", ""destination"": ""PDP"", ""departDate"": ""2025-02-05"", ""returnDate"": """", ""paxCount"": 4, ""category"": ""family"", ""performedAt"": ""2025-01-15T15:45:33Z""}","2025-10-15T23:53:39.969550Z","2025","10","15","search.search.performed"
"search_metric","2025-01-15T14:21:00Z","b064772e-b38d-4da8-956d-7f5f6829e27b","4a404d74-88f1-4313-968b-6339ac0acc99","2025-10-15T23:57:13.932652Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": 23621773932, ""eventSizeBytes"": 224, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T23:57:14.420844Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Unexpected field for search_metric: timestamp"", ""Event timestamp is more than 30 days old""], ""originalS3Key"": ""year=2025/month=10/day=15/type=search_metric/b064772e-b38d-4da8-956d-7f5f6829e27b.json""}","{""flightsFrom"": ""CBA"", ""flightsTo"": ""SCL"", ""dateFrom"": ""2025-03-10"", ""dateTo"": ""2025-03-18"", ""resultsCount"": 19, ""timestamp"": ""2025-01-15T14:21:00Z"", ""userId"": ""u-1405""}","2025-10-15T23:57:14.420907Z","2025","10","15","search_metric"
"flights.flight.created","2025-10-25T12:30:00Z","3d7ce704-b9f3-4fae-9fd1-7cd1b3fc22fd","0467bac7-d84b-4365-bb8d-73d92d6d4c66","2025-10-15T22:38:38.561726Z","{""source"": ""tp-ingest-events"", ""version"": ""1.0"", ""ingestionLatencyMs"": -827481438, ""eventSizeBytes"": 308, ""hasAllRequiredFields"": true, ""hasAllOptionalFields"": true, ""processingRegion"": ""us-east-1""}","{""status"": ""valid"", ""validatedAt"": ""2025-10-15T22:38:39.313106Z"", ""validatedBy"": ""tp-validate-events"", ""errors"": [], ""warnings"": [""Event timestamp is more than 1h in the future""], ""originalS3Key"": ""year=2025/month=10/day=15/type=flights.flight.created/3d7ce704-b9f3-4fae-9fd1-7cd1b3fc22fd.json""}","{""flightId"": ""AR1302"", ""flightNumber"": ""AR1302"", ""origin"": ""EZE"", ""destination"": ""MIA"", ""aircraftModel"": ""B737"", ""departureAt"": ""2025-10-25T12:30:00Z"", ""arrivalAt"": ""2025-10-25T20:10:00Z"", ""status"": ""En hora"", ""price"": 750, ""currency"": ""USD""}","2025-10-15T22:38:39.313167Z","2025","10","15","flights.flight.created"
